DateTime,AddedIPs,RemovedIPs
1597365848,83,90
1597368008,103,117
1597369927,98,81
1597371877,74,73
1597373772,88,104
1597375938,96,106
1597378092,122,164
1597380015,102,424
1597381960,343,501
1597383865,84,97
1597385766,83,131
1597387730,85,804
1597389606,113,1592
1597391525,107,1851
1597393476,94,1798
1597395365,95,1794
1597397535,111,1948
1597399481,136,1965
1597401398,114,1973
1597403303,270,1458
1597405212,528,2301
1597407138,101,87
1597409087,89,90
1597410971,95,87
1597412888,114,91
1597414840,101,101
1597416731,92,102
1597418688,111,377
1597420592,98,205
1597422499,99,201
1597425367,165,295
1597427318,117,223
1597429211,150,176
1597431054,100,121
1597433079,129,233
1597434970,118,107
1597437130,106,140
1597439049,165,116
1597440998,111,257
1597442887,175,115
1597444807,482,104
1597446755,572,185
1597448648,610,107
1597450566,616,114
1597452521,742,121
1597454408,755,88
1597456356,568,107
1597458251,84,86
1597460175,86,105
1597462115,84,91
1597464030,107,108
1597465926,108,119
1597467881,77,73
1597469766,77,440
1597471689,88,85
1597473641,90,220
1597475531,82,419
1597477449,115,109
1597479397,94,119
1597481288,94,203
1597483233,1267,100
1597485127,1914,141
1597487050,1661,115
1597488993,1855,101
1597490895,1741,490
1597492833,2111,113
1597494756,1767,91
1597496664,1840,78
1597498602,103,94
1597500492,64,95
1597502409,78,99
1597504357,73,78
1597506247,64,88
1597508166,65,88
1597510113,66,90
1597512005,76,86
1597513927,74,93
1597515874,68,130
1597518135,91,93
1597520053,89,99
1597522130,101,114
1597524032,88,104
1597525927,115,112
1597527852,115,71
1597529793,86,205
1597531686,79,355
1597533634,72,346
1597535531,74,421
1597537450,72,422
1597539395,530,597
1597541287,250,629
1597544171,76,364
1597546091,77,90
1597548033,78,74
1597549937,87,99
1597551851,71,98
1597553795,66,83
1597555688,46,74
1597557700,80,92
1597559650,793,88
1597561493,346,93
1597563396,68,95
1597565290,67,91
1597567211,123,98
1597569157,409,928
1597571064,288,2008
1597573009,198,1579
1597574892,159,2072
1597576812,117,1769
1597578756,201,2216
1597580677,344,1823
1597582575,250,2325
1597584518,179,118
1597586435,662,101
1597588364,219,81
1597590261,205,86
1597592079,262,62
1597594221,173,101
1597596283,153,88
1597598166,127,84
1597600337,168,122
1597602254,201,73
1597604222,131,96
1597606090,147,90
1597608201,142,118
1597610170,336,365
1597612127,222,856
1597614008,662,143
1597615957,256,113
1597617854,108,92
1597619767,138,89
1597621717,131,106
1597623608,200,99
1597625529,118,82
1597627478,173,88
1597629379,135,72
1597631290,143,197
1597634184,332,627
1597636118,122,96
1597638009,132,84
1597639929,119,78
1597641880,135,62
1597643786,98,74
1597645687,122,637
1597648572,189,1032
1597650516,126,64
1597652409,149,72
1597654330,118,105
1597656287,139,176
1597658168,98,107
1597660093,116,174
