DateTime,AddedIPs,RemovedIPs
1597373976,39,50
1597374497,7,14
1597374751,64,51
1597375416,48,31
1597376136,38,33
1597376414,6,0
1597376855,52,45
1597377576,37,29
1597378353,43,46
1597379016,39,38
1597379735,51,45
1597380253,15,0
1597380455,36,79
1597381176,56,62
1597381896,69,57
1597382166,8,9
1597382615,51,37
1597383336,44,46
1597384114,57,61
1597384776,38,48
1597385495,40,70
1597386040,12,10
1597386216,48,50
1597386936,80,47
1597387656,95,40
1597387929,8,13
1597388377,80,45
1597389096,42,59
1597389366,7,0
1597389878,58,93
1597390536,44,65
1597391255,47,70
1597391769,15,11
1597391975,39,39
1597392696,33,39
1597393415,29,51
1597393689,10,14
1597393923,13,12
1597394135,44,46
1597394856,48,44
1597395648,43,58
1597396296,37,41
1597397015,38,63
1597397532,10,9
1597397736,34,57
1597398455,50,108
1597399176,39,94
1597399453,5,11
1597399896,54,88
1597400616,44,56
1597401393,42,49
1597402055,41,58
1597402775,40,74
1597403300,5,11
1597403496,45,83
1597404006,9,1
1597404215,102,66
1597404935,67,67
1597405207,10,7
1597405895,76,64
1597406616,42,54
1597407135,8,14
1597407575,73,69
1597408296,61,48
1597409080,53,53
1597409736,59,51
1597410456,57,41
1597410968,17,15
1597411176,49,37
1597411895,50,41
1597412615,31,77
1597413336,52,76
1597414054,31,66
1597414775,33,37
1597415496,42,43
1597416216,41,58
1597416728,15,20
1597417175,35,41
1597417895,63,27
1597418683,78,56
1597419335,112,38
1597420056,99,37
1597420568,9,2
1597420776,60,37
1597421495,31,44
1597422216,53,40
1597422496,9,6
1597422936,52,46
1597423656,52,58
1597424446,68,71
1597425096,47,46
1597425816,47,50
1597426332,17,6
1597426536,45,83
1597427255,67,82
1597427976,71,96
1597428250,6,0
1597428695,62,63
1597429415,50,71
1597430196,42,53
1597430855,47,53
1597431577,27,69
1597432091,11,6
1597432296,45,52
1597433016,42,39
1597433530,10,2
1597433736,37,64
1597434009,16,2
1597434455,36,53
1597435175,48,49
1597435957,49,59
1597436616,37,39
1597437336,29,39
1597437605,1,0
1597437849,14,0
1597438055,84,23
1597438775,91,32
1597439496,69,28
1597439767,13,7
1597440215,47,39
1597440935,32,51
1597441717,57,47
1597442376,31,46
1597443096,27,39
1597443816,35,33
1597444536,29,38
1597445256,34,67
1597445533,19,37
1597445976,27,43
1597446696,32,47
1597447478,64,54
1597448191,63,41
1597448855,48,43
1597449371,9,10
1597449576,35,52
1597450296,23,45
1597451015,33,107
1597451289,11,12
1597451736,44,66
1597452456,34,65
1597453241,37,56
1597453896,30,51
1597454616,29,51
1597455199,12,0
1597455576,34,55
1597456296,44,38
1597457078,46,63
1597457735,30,41
1597458456,37,49
1597458970,6,15
1597459175,47,32
1597459895,39,42
1597460616,40,51
1597460893,12,13
1597461335,78,60
1597462055,60,32
1597462837,44,40
1597463495,29,51
1597464215,39,29
1597464733,12,9
1597464936,89,37
1597465655,76,42
1597466375,43,33
1597466651,9,11
1597467096,39,34
1597467815,35,68
1597468595,41,72
1597469255,28,49
1597469975,33,37
1597470485,10,11
1597470695,51,38
1597471415,30,44
1597472137,40,37
1597472440,9,14
1597472857,46,53
1597473576,47,86
1597474355,40,83
1597475016,39,57
1597475736,33,31
1597476255,7,0
1597476455,39,51
1597477175,28,51
1597477446,4,0
1597477895,46,32
1597478176,9,21
1597478616,49,33
1597479335,33,31
1597480123,58,42
1597480776,54,125
1597481495,55,44
1597482014,11,0
1597482455,62,37
1597483175,37,65
1597483973,54,458
1597484616,52,53
1597485336,48,39
1597485849,16,0
1597486054,46,46
1597486775,28,44
1597487495,54,35
1597487771,8,10
1597488215,73,46
1597488935,48,36
1597489714,51,56
1597490376,33,75
1597491095,38,77
1597491615,10,15
1597491815,33,53
1597492085,9,1
1597492536,48,54
1597493256,44,32
1597493529,7,0
1597493976,47,41
1597494696,58,58
1597495479,51,60
1597496136,36,49
1597497095,47,65
1597497368,9,9
1597497815,39,57
1597498536,35,43
1597499314,48,43
1597499975,33,35
1597500695,37,35
1597501232,11,14
1597501416,30,32
1597502135,53,43
1597502855,33,39
1597503129,12,13
1597503576,48,34
1597504295,53,55
1597505079,35,71
1597505736,34,97
1597506455,37,93
1597506727,3,4
1597506999,15,7
1597507175,30,67
1597507896,42,34
1597508615,60,50
1597509335,75,38
1597510055,54,53
1597510776,57,41
1597511495,47,35
1597512215,50,46
1597512731,17,4
1597512935,36,53
1597513655,46,53
1597514375,41,63
1597514653,8,2
1597515095,39,47
1597515815,33,47
1597516892,46,30
1597517256,51,48
1597518215,59,47
1597518966,6,24
1597519175,38,56
1597520376,52,59
1597520894,14,25
1597521095,34,32
1597521668,6,4
1597522055,44,55
1597522874,8,37
1597523256,63,74
1597523976,33,30
1597524751,36,103
1597525415,29,70
1597526135,35,63
1597526649,13,9
1597526855,33,43
1597527576,27,31
1597528296,29,35
1597529016,29,24
1597529736,47,28
1597530510,46,68
1597531175,46,29
1597531895,31,33
1597532421,18,9
1597532855,43,42
1597533575,42,43
1597534352,39,59
1597535015,34,49
1597535735,25,46
1597536262,37,10
1597536455,39,28
1597537175,105,36
1597537896,132,41
1597538165,13,14
1597538616,91,26
1597539335,68,32
1597540172,49,54
1597540776,42,34
1597541496,40,27
1597542006,11,13
1597542215,45,43
1597542935,64,30
1597543656,65,39
1597543929,6,12
1597544376,45,31
1597545096,27,45
1597545875,60,44
1597546535,32,43
1597546812,1,0
1597547255,37,55
1597547764,14,0
1597547976,30,55
1597548696,36,81
1597549415,58,47
1597549929,14,13
1597550136,72,30
1597550912,121,63
1597551575,64,75
1597552295,52,61
1597553015,36,38
1597553791,48,56
1597554455,23,30
1597555175,34,32
1597556135,75,61
1597556856,55,65
1597557694,47,81
1597558295,36,44
1597559016,48,46
1597559735,34,46
1597560516,57,75
1597561175,36,26
1597561894,38,41
1597562415,8,9
1597562615,45,41
1597563336,34,41
1597564055,47,35
1597564326,10,13
1597564776,46,38
1597565550,53,31
1597566273,50,51
1597566936,149,64
1597567656,81,41
1597568178,10,9
1597568375,49,56
1597569095,36,32
1597569815,67,36
1597570087,10,6
1597570535,34,57
1597571255,44,38
1597572055,74,53
1597572936,70,46
1597573655,76,53
1597573930,7,8
1597574375,61,45
1597575095,73,80
1597575874,67,54
1597576536,36,48
1597577256,36,55
1597577765,4,13
1597577974,86,33
1597578695,77,37
1597579415,48,42
1597579689,8,19
1597580191,50,44
1597580855,25,49
1597581365,72,0
1597581634,52,47
1597582296,42,32
1597583016,49,36
1597583531,10,8
1597583736,41,32
1597584455,53,34
1597585175,53,30
1597585449,11,15
1597585895,79,39
1597586855,120,39
1597587366,13,15
1597587575,82,39
1597588295,47,38
1597589014,40,58
1597589284,7,14
1597589736,31,38
1597590484,69,48
1597591270,69,41
1597591896,42,37
1597592615,44,30
1597593123,19,7
1597593335,44,33
1597594056,31,37
1597594831,62,50
1597595046,18,22
1597595496,37,62
1597596216,38,62
1597596991,31,84
1597597656,35,51
1597598376,34,54
1597598887,15,24
1597599095,40,34
1597599815,35,40
1597600536,27,51
1597600835,8,19
1597601255,33,34
1597601975,42,31
1597602758,37,49
1597603415,34,46
1597604136,23,53
1597604654,12,11
1597604855,27,44
1597605575,56,40
1597606295,34,39
1597606570,9,16
1597607015,28,32
1597607735,47,30
1597608516,45,34
1597609175,29,35
1597609452,15,1
1597609895,28,43
1597610408,10,25
1597610615,20,41
1597611335,29,54
1597612056,27,40
1597612328,14,23
1597612775,30,41
1597613495,34,33
1597614275,41,26
1597615175,48,40
1597615895,47,36
1597616165,11,17
1597616615,32,49
1597617335,37,27
1597618111,52,55
1597618775,44,20
1597619495,35,34
1597620005,14,13
1597620215,33,28
1597620935,28,33
1597621655,37,29
1597621925,10,19
1597622375,24,28
1597623095,32,24
1597623871,48,126
1597624088,36,1
1597624536,62,121
1597625049,1,0
1597625254,43,85
1597625765,8,6
1597625975,43,54
1597626695,25,45
1597627415,36,52
1597627763,13,7
1597628135,25,33
1597628855,27,50
1597629645,43,81
1597630295,45,59
1597631015,68,42
1597631529,11,12
1597631735,52,43
1597632455,43,48
1597633175,28,32
1597633693,9,11
1597633895,30,56
1597634166,1,0
1597634615,32,36
1597635336,45,49
1597635605,12,0
1597636054,34,58
1597636775,27,82
1597637560,43,103
